n:414, states: 0.0000001.000000
n:418, states: 0.0000940.999906
n:419, states: 0.0000290.999971
n:1761, states: 0.0000001.000000
n:1762, states: 0.0000001.000000
n:1763, states: 0.0000470.999953
n:1764, states: 0.0000001.000000
n:1765, states: 0.0001120.999888
n:1767, states: 0.0000001.000000
n:1768, states: 0.0000010.999999
n:1769, states: 0.0000010.999999
n:1770, states: 0.0000001.000000
n:1771, states: 0.0000330.999967
n:1773, states: 0.0000190.999981
n:1774, states: 0.0000060.999994
n:1775, states: 0.0000070.999993
n:1776, states: 0.0000030.999997
n:1777, states: 0.0000080.999992
n:1779, states: 0.0000001.000000
n:1780, states: 0.0000030.999997
n:1783, states: 0.0018030.998197
n:1784, states: 0.0000001.000000
n:1788, states: 0.0003690.999631
n:1794, states: 0.0000001.000000
n:1795, states: 0.0001170.999883
n:1798, states: 0.0000001.000000
n:1800, states: 0.0000001.000000
n:1803, states: 0.0000001.000000
n:1804, states: 0.0000001.000000
n:1808, states: 0.0000001.000000
n:1810, states: 0.0000001.000000
n:1818, states: 0.0000001.000000
n:1820, states: 0.0000001.000000
n:1821, states: 0.0000001.000000
n:1823, states: 0.1686330.201367
n:1827, states: 0.0000001.000000
n:1828, states: 0.0000230.999977
n:1829, states: 0.0000010.999999
n:1830, states: 0.0000001.000000
n:1860, states: 0.0000000.000000
n:1969, states: 0.0000000.000000
n:1997, states: 0.0000000.000000
n:2601, states: 0.0000000.000000
n:2602, states: 0.0000000.000000
n:2603, states: 0.0000000.000000
n:2604, states: 0.0000000.000000
n:2605, states: 0.0000000.000000
n:3006, states: 0.0000000.000000
n:3007, states: 0.0000000.000000
n:3008, states: 0.0000000.000000
n:3009, states: 0.0000000.000000
n:3010, states: 0.0000000.000000
n:3011, states: 0.0000000.000000
n:3012, states: 0.0000000.000000
n:3013, states: 0.0000280.999972
n:3014, states: 0.0000280.999972
n:3015, states: 0.1000000.900000
n:3016, states: 0.1000000.900000
n:3017, states: 0.0066810.993319
n:3018, states: 0.0066810.993319
n:3019, states: 0.0000280.999972
n:3020, states: 0.0000280.999972
n:3021, states: 0.0070000.993000
n:3022, states: 0.0070000.993000
n:3023, states: 0.0000210.999979
n:3024, states: 0.0000210.999979
n:3025, states: 0.0001370.999863
n:3026, states: 0.0001370.999863
n:3027, states: 0.0001290.999871
n:3028, states: 0.0001290.999871
n:3029, states: 0.0001170.999883
n:3030, states: 0.0001170.999883
n:3031, states: 0.0000760.999924
n:3032, states: 0.0000760.999924
n:3033, states: 0.0000500.999950
n:3034, states: 0.0000500.999950
n:3035, states: 0.0001870.999813
n:3036, states: 0.0001870.999813
n:3037, states: 0.0000090.999991
n:3038, states: 0.0000090.999991
n:3039, states: 0.0003500.999650
n:3040, states: 0.0003500.999650
n:3041, states: 0.0000060.999994
n:3042, states: 0.0000060.999994
n:3043, states: 0.0000010.999999
n:3044, states: 0.0000010.999999
n:3045, states: 0.0067500.993250
n:3046, states: 0.0067500.993250
n:3047, states: 0.0000010.999999
n:3048, states: 0.0000010.999999
n:3049, states: 0.0000001.000000
n:3050, states: 0.0000001.000000
n:3051, states: 0.0009340.999066
n:3052, states: 0.0009340.999066
n:3053, states: 0.0000600.999940
n:3054, states: 0.0000600.999940
n:3055, states: 0.0000550.999945
n:3056, states: 0.0000550.999945
n:3057, states: 0.0000470.999953
n:3058, states: 0.0000470.999953
n:3059, states: 0.0000030.999997
n:3060, states: 0.0000030.999997
n:3061, states: 0.0000470.999953
n:3062, states: 0.0000470.999953
n:3063, states: 0.0000020.999998
n:3064, states: 0.0000020.999998
n:3065, states: 0.0000700.999930
n:3066, states: 0.0000700.999930
n:3067, states: 0.0000001.000000
n:3068, states: 0.0000001.000000
n:3069, states: 0.0054660.994534
n:3070, states: 0.0054660.994534
n:3071, states: 0.0000040.999996
n:3072, states: 0.0000040.999996
n:3073, states: 0.0002340.999766
n:3074, states: 0.0002340.999766
n:3075, states: 0.0000010.999999
n:3076, states: 0.0000010.999999
n:3077, states: 0.0000120.999988
n:3078, states: 0.0000120.999988
n:3079, states: 0.0000010.999999
n:3080, states: 0.0000010.999999
n:3081, states: 0.0004200.999580
n:3082, states: 0.0004200.999580
n:3083, states: 0.0000030.999997
n:3084, states: 0.0000030.999997
n:3085, states: 0.0000020.999998
n:3086, states: 0.0000020.999998
n:3087, states: 0.0000470.999953
n:3088, states: 0.0000470.999953
n:3089, states: 0.0007010.999299
n:3090, states: 0.0007010.999299
n:3091, states: 0.0007010.999299
n:3092, states: 0.0007010.999299
n:3093, states: 0.0000050.999995
n:3094, states: 0.0000050.999995
n:3095, states: 0.0000050.999995
n:3096, states: 0.0000050.999995
n:3097, states: 0.0000930.999907
n:3098, states: 0.0000930.999907
n:3099, states: 0.0000930.999907
n:3100, states: 0.0000930.999907
n:3101, states: 0.0000010.999999
n:3102, states: 0.0000010.999999
n:3103, states: 0.0000010.999999
n:3104, states: 0.0000010.999999
n:3105, states: 0.0000140.999986
n:3106, states: 0.0000140.999986
n:3107, states: 0.0000140.999986
n:3108, states: 0.0000140.999986
n:3109, states: 0.0007010.999299
n:3110, states: 0.0007010.999299
n:3111, states: 0.0007010.999299
n:3112, states: 0.0007010.999299
n:3113, states: 0.0000001.000000
n:3114, states: 0.0000001.000000
n:3115, states: 0.0000001.000000
n:3116, states: 0.0000001.000000
n:3117, states: 0.0020320.997968
n:3118, states: 0.0020320.997968
n:3119, states: 0.0020320.997968
n:3120, states: 0.0020320.997968
n:3121, states: 0.0005840.999416
n:3122, states: 0.0005840.999416
n:3123, states: 0.0001640.999836
n:3124, states: 0.0000880.999912
n:3125, states: 0.0007880.999212
n:3126, states: 0.0007880.999212
n:3127, states: 0.0001340.999866
n:3128, states: 0.0001410.999859
n:3129, states: 0.0000590.999941
n:3130, states: 0.0000590.999941
